case_type,manual_reason_label,count
diverging_with_large_reward_gap,generic_troubleshooting_vs_specific_fix,1
diverging_with_large_reward_gap,medical_completeness_and_risk_factors,1
diverging_with_large_reward_gap,minor_accuracy_and_concision,1
diverging_with_large_reward_gap,recipe_reliability_vs_polished_detail,1
diverging_with_large_reward_gap,safety_redirection_vs_user_request,1
diverging_with_large_reward_gap,sensitive_topic_framing,1
diverging_with_large_reward_gap,task_ambiguity_and_authenticity,1
diverging_with_large_reward_gap,technical_correctness_and_complexity,1
diverging_with_large_reward_gap,verbosity_and_actionability,1
diverging_with_large_reward_gap,verbosity_and_literary_depth,1
high_confidence_preference_error,ambiguous_puzzle_pattern,1
high_confidence_preference_error,current_factuality_vs_polished_detail,1
high_confidence_preference_error,detail_vs_concision_in_creative_task,1
high_confidence_preference_error,email_concision_vs_over_elaboration,1
high_confidence_preference_error,factuality_vs_instruction_following,1
high_confidence_preference_error,medical_nuance_vs_simple_answer,1
high_confidence_preference_error,oververbosity_vs_concise_answer,1
high_confidence_preference_error,refusal_vs_safe_redirection,1
high_confidence_preference_error,safety_caveat_vs_direct_list,1
high_confidence_preference_error,safety_tone_and_deescalation,1
